Table 1
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;United Nations;;;;;;;;;
;;;;Population Division;;;;;;;;;
;;;;Department of Economic and Social Affairs;;;;;;;;;
;;;;;;;;;;;;;
Workbook: UN_MigrantStockByOriginAndDestination_2017;;;;;;;;;;;; ; 
;;;;ANNEX. Classification of countries and areas by major area and region;;;;;;;;;
;;;;;;;;;;;;;
;;;;December 2017 - Copyright © 2017 by United Nations. All rights reserved;;;;;;;;;
Suggested citation: United Nations, Department of Economic and Social Affairs. Population Division (2017). Trends in International Migrant Stock: The 2017 revision (United Nations database, POP/DB/MIG/Stock/Rev.2017).;;;;;;;;;;;;; 
;;;;;;;;;;;;;
;;;;;;;;;;;;;
Index;Region, subregion, country or area;Notes;Code;More Developed Regions;Less Developed Regions;Least developed countries;High-income Countries;Middle-income Countries;Upper-middle-income Countries;Lower-middle-income Countries;Low-income Countries;Sub-Saharan Africa;
152;Isle of Man;;833;Y;N;N;Y;N;N;N;N;N;
153;Latvia;;428;Y;N;N;Y;N;N;N;N;N;
154;Lithuania;;440;Y;N;N;Y;N;N;N;N;N;
155;Norway;17;578;Y;N;N;Y;N;N;N;N;N;
156;Sweden;;752;Y;N;N;Y;N;N;N;N;N;
157;United Kingdom;;826;Y;N;N;Y;N;N;N;N;N;
158;Southern Europe;;925;;;;;;;;;;
159;Albania;;8;Y;N;N;N;Y;Y;N;N;N;
160;Andorra;;20;Y;N;N;Y;N;N;N;N;N;
161;Bosnia and Herzegovina;;70;Y;N;N;N;Y;Y;N;N;N;
162;Croatia;;191;Y;N;N;N;Y;Y;N;N;N;
163;Gibraltar;;292;Y;N;N;Y;N;N;N;N;N;
164;Greece;;300;Y;N;N;Y;N;N;N;N;N;
165;Holy See;18;336;Y;N;N;N/A;N/A;N/A;N/A;N/A;N;
166;Italy;;380;Y;N;N;Y;N;N;N;N;N;
167;Malta;;470;Y;N;N;Y;N;N;N;N;N;
168;Montenegro;;499;Y;N;N;N;Y;Y;N;N;N;
169;Portugal;;620;Y;N;N;Y;N;N;N;N;N;
170;San Marino;;674;Y;N;N;Y;N;N;N;N;N;
171;Serbia;19;688;Y;N;N;N;Y;Y;N;N;N;
172;Slovenia;;705;Y;N;N;Y;N;N;N;N;N;
173;Spain;20;724;Y;N;N;Y;N;N;N;N;N;
174;TFYR Macedonia;21;807;Y;N;N;N;Y;Y;N;N;N;
175;Western Europe;;926;;;;;;;;;;
176;Austria;;40;Y;N;N;Y;N;N;N;N;N;
177;Belgium;;56;Y;N;N;Y;N;N;N;N;N;
178;France;;250;Y;N;N;Y;N;N;N;N;N;
179;Germany;;276;Y;N;N;Y;N;N;N;N;N;
180;Liechtenstein;;438;Y;N;N;Y;N;N;N;N;N;
181;Luxembourg;;442;Y;N;N;Y;N;N;N;N;N;
182;Monaco;;492;Y;N;N;Y;N;N;N;N;N;
183;Netherlands;;528;Y;N;N;Y;N;N;N;N;N;
184;Switzerland;;756;Y;N;N;Y;N;N;N;N;N;
185;LATIN AMERICA AND THE CARIBBEAN;;904;;;;;;;;;;
186;Caribbean;;915;;;;;;;;;;
187;Anguilla;;660;N;Y;N;N/A;N/A;N/A;N/A;N/A;N;
188;Antigua and Barbuda;;28;N;Y;N;Y;N;N;N;N;N;
189;Aruba;;533;N;Y;N;Y;N;N;N;N;N;
190;Bahamas;;44;N;Y;N;Y;N;N;N;N;N;
191;Barbados;;52;N;Y;N;Y;N;N;N;N;N;
192;British Virgin Islands;;92;N;Y;N;Y;N;N;N;N;N;
193;Caribbean Netherlands;22;535;N;Y;N;N/A;N/A;N/A;N/A;N/A;N;
194;Cayman Islands;;136;N;Y;N;Y;N;N;N;N;N;
195;Cuba;;192;N;Y;N;N;Y;Y;N;N;N;
196;Curaçao;;531;N;Y;N;Y;N;N;N;N;N;
197;Dominica;;212;N;Y;N;N;Y;Y;N;N;N;
198;Dominican Republic;;214;N;Y;N;N;Y;Y;N;N;N;
199;Grenada;;308;N;Y;N;N;Y;Y;N;N;N;
200;Guadeloupe;23;312;N;Y;N;N/A;N/A;N/A;N/A;N/A;N;
201;Haiti;;332;N;Y;Y;N;N;N;N;Y;N;
202;Jamaica;;388;N;Y;N;N;Y;Y;N;N;N;
203;Martinique;;474;N;Y;N;N/A;N/A;N/A;N/A;N/A;N;
204;Montserrat;;500;N;Y;N;N/A;N/A;N/A;N/A;N/A;N;
205;Puerto Rico;;630;N;Y;N;Y;N;N;N;N;N;
